GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",7261,479,4437,422,1010,319,60,63,767,225,122,162,346,202,519,305,64,67,455,252
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7902,438,4831,452,681,253,84,119,1396,265,0,17,281,209,629,262,28,41,601,262
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2830,222,2208,211,112,89,31,46,194,84,112,133,0,12,173,125,24,38,149,120
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",6258,502,3772,408,997,447,38,39,1040,318,0,17,0,17,411,261,0,17,411,261
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",5165,480,4168,438,284,231,24,33,324,151,42,44,57,62,266,145,0,17,266,145
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3154,182,2718,215,41,38,0,12,213,95,0,12,0,12,182,102,0,12,182,102
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",8039,492,5319,628,729,249,67,55,830,323,0,17,595,360,499,207,43,50,456,204
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4651,376,2935,338,565,319,15,20,789,356,76,110,151,104,120,77,39,60,81,62
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2474,197,2122,157,34,30,18,19,175,121,0,12,0,12,125,106,0,12,125,106
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1823,121,1473,114,21,26,37,37,195,57,23,26,20,17,54,31,0,12,54,31
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1968,190,1272,163,377,229,0,12,182,88,0,12,0,12,137,56,7,10,130,56
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2729,258,1950,226,122,115,0,12,373,167,0,12,50,51,234,110,7,12,227,108
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",6950,444,4335,597,525,353,30,53,1286,326,0,17,381,189,393,167,33,51,360,164
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4363,276,2875,277,235,113,0,12,967,194,0,12,32,35,254,114,0,12,254,114
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",5703,500,4519,498,0,17,53,51,499,261,0,17,99,112,533,426,0,17,533,426
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2506,227,2354,223,0,12,6,9,90,55,0,12,0,12,56,47,0,12,56,47
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4400,272,3724,259,29,26,11,12,229,113,0,12,98,131,309,200,0,12,309,200
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",3988,253,2893,270,189,101,25,27,406,106,1,2,137,109,337,131,78,63,259,118
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",4493,410,3553,350,81,69,39,52,405,149,0,12,83,75,332,111,8,12,324,110
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",5280,411,3871,376,37,53,71,85,623,182,31,35,193,182,454,193,71,85,383,182
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",4789,237,3504,283,214,133,5,10,805,209,12,27,35,33,214,96,15,16,199,93
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3647,202,3120,226,5,9,0,12,298,90,0,12,65,47,159,86,0,12,159,86
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",4103,211,3179,204,21,23,5,11,651,178,0,12,112,83,135,74,0,12,135,74
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5619,337,4492,358,5,12,21,30,642,136,17,29,33,55,409,144,14,23,395,142
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",3005,143,2261,242,29,30,0,12,343,162,20,29,78,97,274,130,37,52,237,123
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",3001,177,2645,190,28,27,9,14,125,88,0,12,25,38,169,90,0,12,169,90
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",5011,302,4173,276,117,71,26,42,392,104,0,17,27,27,276,127,10,15,266,124
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",6141,486,4858,457,47,45,1,2,702,304,0,17,118,142,415,280,51,76,364,274
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",4907,307,4470,336,68,100,0,12,189,106,0,12,18,28,162,91,0,12,162,91
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",4322,234,3958,276,0,12,1,5,173,92,13,15,53,43,124,95,0,12,124,95
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",5794,453,5067,416,18,25,0,17,244,111,18,34,106,160,341,156,0,17,341,156
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",6215,324,5770,328,37,86,13,22,223,122,0,17,0,17,172,107,0,17,172,107
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",8423,707,7459,626,53,61,36,46,333,189,19,31,193,171,330,162,0,17,330,162
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",6557,336,5665,383,86,75,0,17,354,141,0,17,150,161,302,139,19,30,283,136
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",3698,273,3263,281,46,49,19,28,192,93,0,12,9,13,169,73,8,13,161,72
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",3993,233,3294,312,40,30,1,3,303,166,0,12,10,14,345,219,0,12,345,219
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",6359,392,5001,334,110,78,0,17,794,313,0,17,115,96,339,143,29,34,310,140
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",2138,155,1700,167,47,31,3,6,270,117,0,12,12,14,106,44,0,12,106,44
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",3041,205,2521,240,22,36,66,65,302,91,0,12,28,26,102,69,12,17,90,67
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",3068,215,2188,245,301,182,0,12,360,147,0,12,43,39,176,84,0,12,176,84
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",7942,464,6694,492,2,4,0,17,929,305,13,19,2,4,302,208,0,17,302,208
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",8336,456,7068,466,74,81,2,4,663,177,98,114,16,22,415,219,56,63,359,184
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",3668,270,2779,299,44,41,6,10,500,205,0,12,144,126,195,81,0,12,195,81
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",3803,412,2222,306,66,49,12,15,1185,333,0,12,74,72,244,81,19,18,225,81
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",7001,901,5160,987,290,269,0,17,1081,328,0,17,184,210,286,147,37,44,249,141
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",3008,319,2416,247,36,45,15,17,346,166,0,12,0,12,195,80,64,60,131,56
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",3602,197,3260,199,45,47,5,10,152,71,0,12,14,22,126,72,12,20,114,72
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",8677,506,7250,513,258,207,0,17,572,333,0,17,33,49,564,272,178,179,386,200
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",5104,320,4416,322,26,45,10,19,279,119,0,17,65,78,308,158,0,17,308,158
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",7034,575,6121,629,30,37,29,36,305,167,0,17,51,62,498,239,0,17,498,239
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",3810,320,3294,330,56,72,13,20,226,92,0,12,0,12,221,121,0,12,221,121
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",3639,232,3132,218,0,12,40,48,225,74,0,12,147,142,95,48,0,12,95,48
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",6935,746,3882,592,128,119,16,25,2417,590,10,24,70,89,412,178,0,17,412,178
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",7456,709,3523,720,211,81,137,113,2701,348,32,34,182,96,670,180,92,80,578,157
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",4996,783,2378,359,87,61,17,24,1842,496,26,30,141,95,505,161,45,31,460,159
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",5406,372,4408,389,70,78,0,17,418,201,0,17,39,43,471,192,0,17,471,192
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",6623,361,5916,385,18,31,36,41,244,86,0,17,75,73,334,160,0,17,334,160
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",6684,535,5573,486,52,49,46,54,644,139,0,17,91,102,278,130,52,87,226,108
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",5084,394,4218,365,219,110,50,59,342,161,0,17,0,17,255,133,0,17,255,133
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",5646,441,4065,489,379,320,0,17,865,332,17,28,16,29,304,192,0,17,304,192
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",7825,643,6504,624,198,162,22,20,583,220,0,17,72,75,446,154,30,25,416,149
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",5598,529,4699,464,45,48,0,17,405,129,2,16,46,52,401,215,15,25,386,211
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",5284,323,4401,365,35,41,36,42,411,200,38,62,59,82,304,123,54,85,250,106
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",4262,228,3647,245,74,49,0,12,352,87,0,12,32,31,157,77,6,12,151,76
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",5201,362,4680,405,68,81,0,17,171,104,0,17,0,17,282,185,0,17,282,185
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",3481,191,3082,237,51,30,0,12,181,83,0,12,20,22,147,65,9,14,138,63
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",4443,326,3898,365,18,29,0,12,313,121,12,20,17,26,185,96,0,12,185,96
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",3571,320,2785,338,89,75,2,5,422,190,0,12,22,29,251,157,0,12,251,157
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",8205,496,5712,606,49,29,85,74,1790,486,0,17,29,49,540,278,41,67,499,279
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",3333,204,2893,203,31,50,0,12,185,77,0,12,56,41,168,82,8,13,160,81
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",4598,234,4088,232,37,40,4,9,243,128,0,12,17,27,209,105,0,12,209,105
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",7178,460,5991,429,50,64,49,74,585,283,50,53,0,17,453,243,123,152,330,173
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",4188,329,2991,309,120,88,8,12,620,205,8,16,263,247,178,126,0,12,178,126
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",8017,726,4839,505,351,231,141,138,1702,479,0,17,83,124,901,576,69,71,832,571
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",5897,447,4051,425,453,148,6,14,902,226,18,29,136,114,331,137,0,17,331,137
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",5109,378,4067,344,100,73,0,17,685,194,0,17,0,17,257,157,0,17,257,157
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",5479,422,3875,435,337,170,0,17,706,183,14,24,89,108,458,129,27,32,431,127
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",8019,507,6228,638,325,224,136,117,526,215,0,17,288,193,516,302,20,35,496,301
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",3955,258,3049,309,289,189,24,30,355,135,0,12,15,18,223,95,0,12,223,95
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",5032,436,3778,369,580,294,49,58,345,143,0,17,50,48,230,146,0,17,230,146
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",5704,416,4071,368,409,292,21,34,279,153,0,17,141,171,783,320,31,50,752,331
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",5922,615,4644,563,737,336,33,36,291,137,3,6,61,50,153,92,20,32,133,87
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",6621,500,4236,658,557,275,20,46,1398,456,0,17,113,106,297,156,0,17,297,156
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",3496,337,2616,333,219,120,27,32,408,179,0,12,50,42,176,92,12,22,164,90
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",4599,396,3103,278,431,147,91,79,472,199,18,18,234,161,250,126,0,12,250,126
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",4143,379,2888,403,282,152,0,12,813,303,0,12,14,25,146,93,0,12,146,93
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",2994,204,2414,215,95,66,54,52,278,94,8,13,64,50,81,62,0,12,81,62
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",4374,299,3165,357,186,191,38,48,715,198,36,58,86,80,148,91,17,27,131,78
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",4377,294,2339,256,719,198,137,128,629,181,12,20,214,117,327,107,38,27,289,98
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",5151,572,3147,438,317,145,15,22,988,239,13,20,308,240,363,111,47,37,316,111
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",4428,399,2674,280,761,257,30,44,343,88,0,12,219,260,401,122,18,19,383,121
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",4116,388,2661,253,597,221,22,25,214,147,170,238,183,222,269,115,0,12,269,115
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",5363,519,2824,428,1390,371,44,66,291,161,0,17,34,40,780,383,60,73,720,381
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",3550,321,1413,292,866,236,27,37,943,191,0,12,10,22,291,152,28,35,263,138
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",2766,386,525,135,549,486,69,96,1466,241,0,12,0,12,157,93,0,12,157,93
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",2613,239,1345,219,262,115,139,79,677,148,4,8,42,34,144,75,0,12,144,75
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",2715,318,1397,191,304,163,27,35,606,93,0,12,146,123,235,101,0,12,235,101
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",6278,571,2068,393,519,149,126,135,2087,366,18,27,760,507,700,276,33,36,667,274
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",6448,528,4103,429,1228,371,29,38,582,156,0,17,75,88,431,185,0,17,431,185
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",5632,559,4613,489,215,259,0,17,351,147,0,17,59,56,394,191,20,31,374,184
