GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3547,161,48002,8140,66.3,5.1,50797,5771,13.1,4.4,35357,21151,0.3,0.4,-,**,12.5,3.7,-,**,0.0,0.9,-,**,3.7,1.8,-,**,4.1,2.3,-,**,7.7,3.5,74167,64175,63.9,5.4,50517,5831,7.4,2.8,24044,19241,39.3,4.7,73854,20662,33.5,4.8,25411,9146,19.9,3.0,43438,14561,1561,192,80930,10579,40.5,7.1,78839,23086,59.5,7.1,81326,16068,75.4,8.1,88909,11919,17.2,7.6,36279,35007,7.4,4.8,-,**,1986,228,26224,6753,56.4,8.2,22490,8593,47.2,8.3,21154,5141,9.2,4.1,64948,23362,43.6,8.2,35149,14763,37.4,7.9,27639,14305,6.2,3.1,100040,61396,37.6,(X),(X),(X),37.5,(X),(X),(X),37.7,(X),(X),(X)
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",3553,145,63727,6832,72.9,4.6,65840,4624,5.9,2.9,55398,44188,0.4,0.7,-,**,13.7,3.0,58832,6235,0.0,0.9,-,**,2.2,1.7,-,**,4.9,3.0,79777,37463,4.6,1.1,86272,16440,71.2,4.4,65277,6260,5.9,3.6,-,**,35.6,4.4,78125,38422,35.0,4.7,69410,8072,23.4,2.8,45341,11018,1969,215,73655,8464,38.1,4.7,76250,16985,61.9,4.7,72688,12637,67.4,9.1,90809,21205,20.6,8.0,37880,17396,12.0,6.7,59967,22890,1584,229,46471,10676,49.5,9.2,28966,8405,42.5,8.7,29191,8994,7.0,5.4,28646,28329,50.5,9.2,57132,14794,33.5,7.9,55584,5179,17.0,6.7,86339,18721,23.3,(X),(X),(X),28.5,(X),(X),(X),16.9,(X),(X),(X)
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1176,28,65781,17808,83.8,5.8,60268,14761,3.6,3.1,26875,18682,2.6,4.0,-,**,7.2,3.0,139464,95337,0.9,1.3,-,**,0.0,2.7,-,**,1.9,2.2,-,**,2.2,2.5,-,**,81.6,6.0,54938,20477,2.4,2.6,-,**,39.9,7.7,98445,19583,40.4,7.2,57639,20732,17.3,3.9,36000,28198,633,93,86964,17617,48.3,9.5,91071,49418,51.7,9.5,86250,18600,69.5,8.4,110938,22204,25.0,9.4,35417,16581,5.5,5.3,-,**,543,93,46042,10096,48.6,12.3,52955,23083,30.9,11.6,45000,24621,17.7,8.9,60500,28873,51.4,12.3,45597,25766,37.6,12.8,26167,17251,13.8,8.1,172621,97477,36.3,(X),(X),(X),43.1,(X),(X),(X),28.4,(X),(X),(X)
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3542,171,32196,2396,66.0,6.3,33621,3550,14.6,5.7,21050,15504,1.1,1.1,-,**,12.8,4.4,43067,8789,0.0,0.9,-,**,0.0,0.9,-,**,5.5,3.8,30847,26855,3.9,2.7,-,**,64.6,6.1,33394,3520,6.0,4.2,33683,18267,39.2,7.0,36411,8108,24.7,3.8,31633,2950,30.1,4.5,25893,4428,1328,233,44706,13048,33.7,11.1,-,**,66.3,11.1,55804,35712,61.7,13.3,61923,40980,37.1,12.8,37422,23674,1.1,1.9,-,**,2214,236,28644,4199,62.1,8.3,26737,2874,53.3,8.1,25138,3812,8.8,4.7,65703,22812,37.9,8.3,31472,4508,31.7,7.0,30794,6736,6.1,4.2,37339,21145,26.8,(X),(X),(X),30.0,(X),(X),(X),24.9,(X),(X),(X)
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",2392,132,61184,13257,84.5,5.4,66250,13382,5.0,4.4,30341,18144,0.2,0.4,-,**,5.9,3.2,-,**,0.0,1.3,-,**,0.8,1.2,-,**,3.6,2.5,31645,26907,5.1,2.4,63798,25025,80.2,5.4,70213,15931,0.5,0.8,-,**,36.4,5.9,64038,18481,27.1,4.9,117768,30707,36.0,4.4,43844,9692,994,148,103947,29348,40.8,10.2,124214,56898,59.2,10.2,77361,25373,76.4,11.1,116977,9797,20.9,11.0,48611,45845,2.7,3.0,-,**,1398,165,41250,12047,63.2,9.4,35246,10865,54.2,9.2,35106,15993,9.0,6.1,52845,47989,36.8,9.4,60263,10689,19.6,6.5,54265,34364,17.2,8.0,62596,15369,33.7,(X),(X),(X),28.2,(X),(X),(X),34.8,(X),(X),(X)
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1251,73,126544,17356,89.1,4.1,121719,20449,0.7,1.1,-,**,0.0,2.6,-,**,5.9,3.3,126389,78022,0.0,2.6,-,**,0.0,2.6,-,**,4.2,2.6,-,**,0.9,1.4,-,**,88.2,4.2,120000,19692,0.0,2.6,-,**,19.3,3.6,116667,18287,47.2,4.5,185625,45760,33.4,3.8,95588,32287,946,84,151053,17683,37.1,5.5,146375,34197,62.9,5.5,155724,19496,86.9,4.8,156053,19124,8.5,4.1,115769,79390,4.7,2.7,-,**,305,76,35139,18946,68.2,10.6,52794,17605,46.9,14.4,42031,21948,21.3,11.2,100375,97076,31.8,10.6,24375,11365,26.6,9.7,24625,10565,5.2,5.8,-,**,18.6,(X),(X),(X),17.0,(X),(X),(X),23.6,(X),(X),(X)
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",3423,109,57023,10048,71.0,6.4,61896,13239,6.7,4.0,57434,48192,1.6,1.3,45515,32179,10.2,3.5,64297,36899,0.0,0.9,-,**,5.6,3.7,40376,23208,4.8,3.1,42389,31189,8.2,3.9,40793,4538,68.9,6.4,62031,14047,5.5,2.9,28382,19896,42.5,5.3,63125,27315,33.1,4.3,66359,24380,18.9,2.4,50179,11623,1757,212,69135,19332,47.7,6.3,84352,35723,52.3,6.3,64972,11191,70.1,7.3,86667,16213,18.4,7.9,-,**,11.4,5.1,-,**,1666,223,43349,7062,51.0,8.9,41278,7341,37.0,8.9,37766,4482,14.0,5.9,61250,47677,49.0,8.9,50500,26961,31.3,6.9,38661,8060,17.6,8.1,78000,31735,28.6,(X),(X),(X),24.3,(X),(X),(X),29.2,(X),(X),(X)
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2188,141,51371,3137,69.7,6.7,55849,7844,9.4,4.6,37688,15820,0.0,1.5,-,**,15.4,5.3,51831,5369,0.9,1.4,-,**,3.9,2.8,-,**,0.7,1.1,-,**,6.3,3.7,-,**,66.4,6.8,55236,6532,6.1,2.8,-,**,41.0,6.1,54737,4854,31.0,5.1,54938,23736,21.8,5.1,43000,19547,1110,151,59338,12511,48.6,9.8,59559,11929,51.4,9.8,57083,53714,67.6,9.2,93295,19403,24.1,8.1,32143,15931,8.3,5.7,-,**,1078,178,45475,5347,46.4,9.6,40688,13965,43.5,9.9,40719,14043,2.9,3.3,-,**,53.6,9.6,50714,5047,36.5,10.5,50476,5713,17.1,6.8,71250,50303,17.8,(X),(X),(X),20.0,(X),(X),(X),15.5,(X),(X),(X)
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1040,58,92917,17786,87.1,5.3,93542,17189,1.9,2.3,-,**,0.8,1.3,-,**,5.8,3.6,160417,95450,0.0,3.1,-,**,0.0,3.1,-,**,4.4,4.2,-,**,0.0,3.1,-,**,87.1,5.3,93542,17189,0.9,1.4,-,**,30.3,7.3,83491,33482,50.7,7.1,101484,16303,18.2,2.5,77361,27520,691,94,121750,21328,37.2,7.5,112875,47381,62.8,7.5,126667,19423,85.1,7.5,128889,24802,12.0,7.6,-,**,2.9,2.6,-,**,349,93,41250,22003,57.0,13.8,60037,53175,51.6,13.9,41429,37759,5.4,5.3,210125,160172,43.0,13.8,36667,26812,33.2,13.3,-,**,9.7,7.4,-,**,11.9,(X),(X),(X),11.1,(X),(X),(X),13.5,(X),(X),(X)
