,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
10,6552481,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,260717.0,2017-06-06,,2018-12-06,Permit Issued,47.58900409,-122.304421
23,6584024,Construction,MULTIFAMILY,NEW,Plan Review,529743.0,2018-03-06,,2019-09-06,Permit Issued,47.67258029,-122.3777289
46,6588004,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,454332.0,2018-03-06,,2019-09-06,Permit Issued,47.69151157,-122.3696462
71,6440671,Construction,MULTIFAMILY,NEW,Plan Review,786928.0,2016-04-26,2017-06-27,2017-10-26,Permit Finaled,47.62118988,-122.2980787
143,6337999,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,383433.0,2013-05-21,2014-06-18,2014-11-21,Permit Closed,47.67402707,-122.3835194
162,6484804,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,434975.0,2015-09-22,2016-09-21,2017-03-22,Permit Closed,47.66983998,-122.286049
163,6516025,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,327848.0,2016-06-29,,2017-12-29,Permit Issued,47.5367155,-122.3552733
168,6530490,Construction,MULTIFAMILY,NEW,Plan Review,558178.0,2016-08-12,,2018-02-12,Permit Issued,47.54156806,-122.3225372
187,6547255,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,443959.0,2017-05-23,,2018-11-23,Permit Issued,47.64193368,-122.3499406
201,6460854,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,266258.0,2015-08-31,2016-08-05,2017-02-28,Permit Closed,47.59346791,-122.3079262
211,6410795,Construction,MULTIFAMILY,NEW,Plan Review,971214.0,2015-10-07,2016-12-30,2017-04-07,Permit Finaled,47.55637148,-122.2883163
218,6497476,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,482819.0,2016-01-07,2017-08-25,2019-01-07,Permit Closed,47.638753,-122.3244251
225,6363406,Construction,MULTIFAMILY,NEW,Plan Review,481826.0,2013-11-14,2014-09-18,2015-05-14,Permit Closed,47.62687920000001,-122.3238287
247,6578359,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,322612.0,2017-10-21,,2019-04-21,Permit Issued,47.64436192,-122.3552507
252,6406751,Construction,MULTIFAMILY,NEW,Plan Review,340500.0,2014-09-24,2015-10-16,2016-03-24,Permit Closed,47.56062356,-122.3625544
255,6133054,Construction,MULTIFAMILY,NEW,Plan Review,449404.0,2013-10-09,2015-03-10,2015-04-09,Permit Closed,47.53213121,-122.3600621
260,6411954,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,429740.0,2014-12-23,,2016-06-23,Permit Issued,47.62787138,-122.353699
264,6558799,Construction,MULTIFAMILY,NEW,Plan Review,1589350.0,2017-09-27,,2019-03-27,Permit Issued,47.69470904,-122.342691
285,6513687,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,269252.0,2016-08-04,,2019-08-04,Permit Issued,47.53386332,-122.3675522
288,6578785,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,425270.0,2018-03-05,,2019-09-05,Permit Issued,47.64710289,-122.3589931
329,6523973,Construction,MULTIFAMILY,NEW,Plan Review,704426.0,2017-02-13,,2018-08-13,Permit Issued,47.62644557,-122.3238163
344,6497612,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,439911.0,2016-03-14,,2017-09-14,Permit Issued,47.53709236,-122.3822721
350,6486333,Construction,COMMERCIAL,NEW,Plan Review,6304428.0,2017-01-20,,2018-07-20,Permit Issued,47.61844045,-122.3041441
363,6524310,Construction,MULTIFAMILY,NEW,Plan Review,794696.0,2017-01-04,,2018-07-04,Permit Issued,47.65519835,-122.3270294
377,6508684,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,335484.0,2017-09-09,,2019-03-09,Permit Issued,47.5468763,-122.2759274
404,6400179,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,319981.0,2014-06-02,2015-02-12,2015-12-02,Permit Closed,47.53144759,-122.3919846
412,6437770,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,709000.0,2015-05-27,2017-09-05,2017-12-31,Permit Closed,47.62790566,-122.2871759
434,6359525,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,298152.0,2013-11-22,2015-01-08,2015-05-22,Permit Closed,47.61235335,-122.29175259999998
441,6588879,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,396362.0,2017-10-20,,2019-04-20,Permit Issued,47.63885057,-122.3882547
442,6454534,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,628970.0,2015-10-01,2016-11-29,2017-04-01,Permit Closed,47.67116748,-122.2953242
445,6392290,Construction,MULTIFAMILY,NEW,Plan Review,291310.0,2014-10-04,2015-12-22,2016-04-04,Permit Closed,47.68013067,-122.2906268
463,6547219,Construction,MULTIFAMILY,NEW,Plan Review,686584.0,2017-02-07,2017-10-31,2018-08-07,Permit Finaled,47.54162297,-122.3874892
471,6445656,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,327187.0,2015-03-25,2015-11-16,2016-09-25,Permit Closed,47.52697511,-122.3509237
474,6465204,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,689010.0,2015-11-03,,2018-11-03,Permit Issued,47.62761377,-122.2871844
475,6465258,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,403037.0,2016-04-14,2017-11-16,2017-10-14,Permit Closed,47.58447944,-122.3932562
505,6482597,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,285229.0,2016-02-19,2017-03-22,2017-08-19,Permit Closed,47.63519519,-122.3730845
517,6420065,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,351735.0,2015-04-15,2016-07-28,2016-10-15,Permit Finaled,47.69449967,-122.3429437
563,6399768,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,311603.0,2016-08-05,2017-12-13,2018-02-05,Permit Closed,47.69451025,-122.3569568
582,6506809,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,472046.0,2016-10-28,,2018-04-28,Permit Issued,47.62982074,-122.3197907
588,6419189,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325048.0,2014-10-29,2015-06-01,2016-04-29,Permit Closed,47.70545131,-122.3516741
592,6536242,Construction,MULTIFAMILY,NEW,Plan Review,412618.0,2016-06-11,2017-08-30,2017-12-11,Permit Finaled,47.61950012,-122.3043252
