,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
736,6401146,COMMERCIAL,30208787.0,2015-04-24,2017-08-24,Permit Closed,47.63209422,-122.3419139
773,6461320,COMMERCIAL,1100786.0,2016-01-27,2016-11-23,Permit Closed,47.67402392,-122.2637024
780,6405731,MULTIFAMILY,3232908.0,2014-12-23,2016-11-17,Permit Closed,47.56127513,-122.3886209
814,6329942,MULTIFAMILY,2649941.0,2013-10-25,2015-02-24,Permit Closed,47.62301247,-122.3233857
848,6404113,COMMERCIAL,6257221.0,2016-01-26,2017-12-28,Cert of Occupancy Authorized,47.62369467,-122.3362305
995,6327457,MULTIFAMILY,1630417.0,2013-06-08,2015-01-28,Permit Closed,47.69041968,-122.3598097
1185,6367485,COMMERCIAL,17000000.0,2014-06-16,2017-04-12,Permit Closed,47.62107332,-122.335549
1227,6407657,INDUSTRIAL,3657024.0,2015-05-13,2017-07-31,Cert of Occupancy Authorized,47.5540511,-122.3210202
1819,6399403,COMMERCIAL,2050000.0,2014-07-09,2016-03-28,Permit Closed,47.62304677,-122.3407984
1927,6369620,COMMERCIAL,2844222.0,2014-01-09,2015-07-24,Permit Closed,47.62264265,-122.33941029999998
2034,6456300,MULTIFAMILY,1019455.0,2016-01-20,2017-02-13,Cert of Occupancy Authorized,47.7324989,-122.3438107
2171,6355935,COMMERCIAL,1750000.0,2013-08-16,2015-06-16,Permit Finaled,47.61336267,-122.3190838
2180,6357953,MULTIFAMILY,1133740.0,2013-07-27,2014-03-27,Permit Closed,47.54372303,-122.3673479
2264,6373481,MULTIFAMILY,1252863.0,2014-03-03,2014-10-24,Permit Closed,47.60204123,-122.31047240000002
2343,6473211,COMMERCIAL,38524043.0,2016-06-15,2017-08-16,Cert of Occupancy Authorized,47.59867342,-122.3352065
2404,6148655,COMMERCIAL,7000000.0,2013-05-17,2017-10-30,Permit Closed,47.6064785,-122.3313647
2462,6355489,COMMERCIAL,10100000.0,2016-02-05,2017-08-11,Permit Closed,47.56082621,-122.3796587
2533,6342717,COMMERCIAL,32360177.0,2015-02-11,2017-03-08,Permit Closed,47.60649933,-122.3399674
2574,6352828,COMMERCIAL,12074956.0,2014-04-15,2016-02-23,Permit Closed,47.61273006,-122.3028953
2614,6257754,MULTIFAMILY,2264568.0,2014-02-07,2015-01-20,Permit Closed,47.71986382,-122.2929826
2797,6414455,MULTIFAMILY,1094309.0,2016-02-12,2017-06-28,Permit Finaled,47.60180895,-122.297002
2835,6332903,MULTIFAMILY,1399632.0,2013-11-12,2015-07-15,Permit Closed,47.69321735,-122.35414140000002
2886,6445991,INDUSTRIAL,1778616.0,2016-09-29,2018-01-25,Permit Closed,47.56881722,-122.365913
3072,6459262,MULTIFAMILY,10836537.0,2016-03-04,2017-09-28,Permit Closed,47.62192794,-122.3576693
3274,6372508,MULTIFAMILY,3193802.0,2014-07-23,2016-09-08,Cert of Occupancy Authorized,47.61834052,-122.30917340000002
3350,6415156,COMMERCIAL,3500000.0,2014-11-13,2017-05-08,Permit Closed,47.54975322,-122.2576911
3497,6372434,INDUSTRIAL,1040125.0,2013-12-24,2015-11-19,Permit Closed,47.57070622,-122.3301196
3567,6338150,MULTIFAMILY,1866445.0,2015-02-07,2017-02-10,Permit Closed,47.62615808,-122.3513117
3809,6524354,MULTIFAMILY,1457948.0,2017-04-09,2017-12-21,Permit Finaled,47.7329444,-122.3426582
3826,6405410,COMMERCIAL,8274511.0,2015-03-26,2016-07-26,Cert of Occupancy Authorized,47.66601132,-122.3772692
3833,6369916,MULTIFAMILY,5400136.0,2014-04-01,2015-07-17,Permit Closed,47.63204687,-122.3601297
4063,6482726,MULTIFAMILY,3710000.0,2016-06-10,2018-02-07,Cert of Occupancy Authorized,47.61889103,-122.3050767
4221,6424483,COMMERCIAL,37237341.0,2015-03-09,2016-11-03,Permit Closed,47.60039583,-122.3324886
4256,6338392,MULTIFAMILY,7933490.0,2014-06-07,2015-10-19,Permit Closed,47.66366765,-122.3145098
4297,6446933,MULTIFAMILY,3053272.0,2016-04-26,2017-08-30,Permit Closed,47.56204949,-122.3877715
4301,6305188,COMMERCIAL,4505285.0,2013-08-29,2015-01-08,Permit Closed,47.67040625,-122.3827844
