,b_id,b_latitude,b_longitude,col_before,col_during,col_after
10,6552481,47.58900409,-122.304421,36,21,62
23,6584024,47.67258029,-122.3777289,50,25,34
46,6588004,47.69151157,-122.3696462,46,30,42
71,6440671,47.62118988,-122.2980787,55,65,34
143,6337999,47.67402707,-122.3835194,14,76,34
162,6484804,47.66983998,-122.286049,36,49,6
163,6516025,47.5367155,-122.3552733,48,75,73
168,6530490,47.54156806,-122.3225372,16,1,98
187,6547255,47.64193368,-122.3499406,29,83,67
201,6460854,47.59346791,-122.3079262,3,86,34
211,6410795,47.55637148,-122.2883163,26,5,32
218,6497476,47.638753,-122.3244251,24,61,46
225,6363406,47.6268792,-122.3238287,86,40,55
247,6578359,47.64436192,-122.3552507,41,9,55
252,6406751,47.56062356,-122.3625544,85,78,9
255,6133054,47.53213121,-122.3600621,60,55,54
260,6411954,47.62787138,-122.353699,91,4,19
264,6558799,47.69470904,-122.342691,6,18,22
285,6513687,47.53386332,-122.3675522,28,1,62
288,6578785,47.64710289,-122.3589931,48,31,31
329,6523973,47.62644557,-122.3238163,35,34,22
344,6497612,47.53709236,-122.3822721,62,81,2
350,6486333,47.61844045,-122.3041441,32,81,89
363,6524310,47.65519835,-122.3270294,75,9,75
377,6508684,47.5468763,-122.2759274,39,28,4
404,6400179,47.53144759,-122.3919846,67,2,34
412,6437770,47.62790566,-122.2871759,68,25,75
434,6359525,47.61235335,-122.2917526,80,49,33
441,6588879,47.63885057,-122.3882547,87,22,61
442,6454534,47.67116748,-122.2953242,59,96,26
445,6392290,47.68013067,-122.2906268,26,66,55
463,6547219,47.54162297,-122.3874892,98,10,28
471,6445656,47.52697511,-122.3509237,90,28,49
474,6465204,47.62761377,-122.2871844,40,35,68
475,6465258,47.58447944,-122.3932562,83,99,6
505,6482597,47.63519519,-122.3730845,62,39,43
517,6420065,47.69449967,-122.3429437,87,60,36
563,6399768,47.69451025,-122.3569568,13,24,4
582,6506809,47.62982074,-122.3197907,38,53,61
588,6419189,47.70545131,-122.3516741,30,92,90
592,6536242,47.61950012,-122.3043252,23,91,83
593,6519435,47.66961273,-122.2577468,65,5,42
602,6427053,47.50024985,-122.2685455,49,84,50
608,6371186,47.67364157,-122.3721881,25,31,45
627,6592952,47.58524943,-122.3072667,74,73,15
641,6505889,47.55227692,-122.3627132,61,53,39
