,Application/Permit Number,Address,Description,Category,Action Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Latitude,Longitude,Location
736,6401146,1414 DEXTER AVE N,"Construction of a residential structure with below grade parking and occupy, per plan.(6401146 and 6392906 submitted as one application - normal processing under each individual AP, review approvals under each phase of each AP).",COMMERCIAL,NEW,30208787.0,2014-07-22,2015-04-24,2017-08-24,2018-04-24,Permit Closed,47.63209422,-122.3419139,"1414 DEXTER AVE N
(47.63209422, -122.34191385)"
773,6461320,6251 60TH AVE NE,Establish use as multifamily structures and construct 5-unit townhouses with attached parking and occupy per plan.,COMMERCIAL,NEW,1100786.0,2015-03-04,2016-01-27,2016-11-23,2017-07-27,Permit Closed,47.67402392,-122.2637024,"6251 60TH AVE NE
(47.67402392, -122.26370241)"
780,6405731,4400 SW ALASKA ST,"Construct mixed use building and occupy, per plan (including 2-live works).",MULTIFAMILY,NEW,3232908.0,2014-04-23,2014-12-23,2016-11-17,2017-12-23,Permit Closed,47.56127513,-122.3886209,"4400 SW ALASKA ST
(47.56127513, -122.38862086)"
814,6329942,431 BOYLSTON AVE E,"Construct low-income apartment building with on site parking on combined lots (per MUP 3013899) and occupy, per plans (Demolition of 2 single-family dwellings under separate permit).",MULTIFAMILY,NEW,2649941.0,2013-06-25,2013-10-25,2015-02-24,2015-04-25,Permit Closed,47.62301247,-122.3233857,"431 BOYLSTON AVE E
(47.62301247, -122.32338565)"
848,6404113,525 BOREN AVE N,"Construction of a residential and retail building with below grade level and occupy, per plan.",COMMERCIAL,NEW,6257221.0,2015-05-21,2016-01-26,2017-12-28,2019-01-26,Cert of Occupancy Authorized,47.62369467,-122.3362305,"525 BOREN AVE N
(47.62369467, -122.33623046)"
995,6327457,143 NW 85TH ST,Establish use as congregate residence and 1-live/work and construct boarding house and occupy per plan.,MULTIFAMILY,NEW,1630417.0,2012-11-09,2013-06-08,2015-01-28,2016-06-08,Permit Closed,47.69041968,-122.35980970000001,"143 NW 85TH ST
(47.69041968, -122.35980971)"
1185,6367485,300 BOREN AVE N,"Shoring and excavation for construction of podium, north, and south towers of office and retail building on common podium with below grade parking, per plan",COMMERCIAL,NEW,17000000.0,2013-07-19,2014-06-16,2017-04-12,2017-06-16,Permit Closed,47.62107332,-122.335549,"300 BOREN AVE N
(47.62107332, -122.33554895)"
1227,6407657,5400 AIRPORT WAY S,"Construction of storage and office building with caretaker unit and occupy, per plan.",INDUSTRIAL,NEW,3657024.0,2014-07-29,2015-05-13,2017-07-31,2018-05-13,Cert of Occupancy Authorized,47.5540511,-122.3210202,"5400 AIRPORT WAY S
(47.5540511, -122.32102018)"
1819,6399403,430 8TH AVE N,"Shoring and excavation for construction of a residential and retail building with below grade parking, per plan",COMMERCIAL,NEW,2050000.0,2014-01-21,2014-07-09,2016-03-28,2016-01-09,Permit Closed,47.62304677,-122.34079840000001,"430 8TH AVE N
(47.62304677, -122.34079835)"
1927,6369620,400 9TH AVE N,"Shoring/Excavation for construction of an office and retail building with below grade parking, per plan",COMMERCIAL,NEW,2844222.0,2013-08-15,2014-01-09,2015-07-24,2015-07-09,Permit Closed,47.62264265,-122.33941029999998,"400 9TH AVE N
(47.62264265, -122.33941026)"
2034,6456300,14300 MIDVALE AVE N,Establish use as and construct new 7 unit rowhouse and occupy per plan.,MULTIFAMILY,NEW,1019455.0,2015-07-02,2016-01-20,2017-02-13,2017-07-20,Cert of Occupancy Authorized,47.7324989,-122.3438107,"14300 MIDVALE AVE N
(47.7324989, -122.34381074)"
2171,6355935,1414 10TH AVE,"Shoring and excavation for construction of a residential and retail building with below grade parking, per plan(Existing street-level facades for Davis Hoffman, Madison Park 1 and Madison Park 2 to remain)",COMMERCIAL,NEW,1750000.0,2013-03-15,2013-08-16,2015-06-16,2015-02-16,Permit Finaled,47.61336267,-122.3190838,"1414 10TH AVE
(47.61336267, -122.31908377)"
2180,6357953,6590 HIGH POINT DR SW,"Construct northeast townhouse structure, per plans.  (Establish use as and construct two new multifamily townhouse structures with attached garages, per plans / Review and processing for 2 AP's under 6357952)",MULTIFAMILY,NEW,1133740.0,2013-04-26,2013-07-27,2014-03-27,2015-01-27,Permit Closed,47.54372303,-122.3673479,"6590 HIGH POINT DR SW
(47.54372303, -122.36734791)"
