,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
773,6461320,COMMERCIAL,1100786.0,2016-01-27,2016-11-23,Permit Closed,47.67402392,-122.2637024
780,6405731,MULTIFAMILY,3232908.0,2014-12-23,2016-11-17,Permit Closed,47.56127513,-122.3886209
814,6329942,MULTIFAMILY,2649941.0,2013-10-25,2015-02-24,Permit Closed,47.62301247,-122.3233857
995,6327457,MULTIFAMILY,1630417.0,2013-06-08,2015-01-28,Permit Closed,47.69041968,-122.3598097
1819,6399403,COMMERCIAL,2050000.0,2014-07-09,2016-03-28,Permit Closed,47.62304677,-122.3407984
1927,6369620,COMMERCIAL,2844222.0,2014-01-09,2015-07-24,Permit Closed,47.62264265,-122.33941029999998
2034,6456300,MULTIFAMILY,1019455.0,2016-01-20,2017-02-13,Cert of Occupancy Authorized,47.7324989,-122.3438107
2171,6355935,COMMERCIAL,1750000.0,2013-08-16,2015-06-16,Permit Finaled,47.61336267,-122.3190838
2180,6357953,MULTIFAMILY,1133740.0,2013-07-27,2014-03-27,Permit Closed,47.54372303,-122.3673479
2264,6373481,MULTIFAMILY,1252863.0,2014-03-03,2014-10-24,Permit Closed,47.60204123,-122.31047240000002
2533,6342717,COMMERCIAL,32360177.0,2015-02-11,2017-03-08,Permit Closed,47.60649933,-122.3399674
2574,6352828,COMMERCIAL,12074956.0,2014-04-15,2016-02-23,Permit Closed,47.61273006,-122.3028953
2614,6257754,MULTIFAMILY,2264568.0,2014-02-07,2015-01-20,Permit Closed,47.71986382,-122.2929826
2835,6332903,MULTIFAMILY,1399632.0,2013-11-12,2015-07-15,Permit Closed,47.69321735,-122.35414140000002
3274,6372508,MULTIFAMILY,3193802.0,2014-07-23,2016-09-08,Cert of Occupancy Authorized,47.61834052,-122.30917340000002
3497,6372434,INDUSTRIAL,1040125.0,2013-12-24,2015-11-19,Permit Closed,47.57070622,-122.3301196
3567,6338150,MULTIFAMILY,1866445.0,2015-02-07,2017-02-10,Permit Closed,47.62615808,-122.3513117
