GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3547,161,73957,9500,72.9,4.8,71598,8018,22.7,4.8,47502,28121,27.1,4.3,15945,2092,7.1,2.9,8210,2100,5.6,3.1,4021,3153,17.4,4.3,29170,9395,1561,192,107087,19700,10.8,4.8,95350,41069,27.4,8.4,68854,32606,41.9,8.9,123176,33222,8.7,5.4,123257,62944,5.3,3.4,188317,34358,5.9,4.6,95841,41350,7261,479,36872,4469,61.1,5.3,47170,7858,13.9,4.2,21440,6878,0.8,0.9,N,N,10.6,3.1,27986,7391,1.7,2.2,N,N,4.8,2.8,15186,10515,7.1,4.0,18144,8773,11.6,5.3,21098,7703,57.7,5.4,48240,8116,37.6,(X),(X),(X),37.5,(X),(X),(X),30.7,(X),(X),(X)
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",3553,145,76002,6284,77.1,4.2,78353,7572,28.0,5.1,11147,4328,25.4,3.4,20176,2209,3.2,1.9,14098,4364,3.7,2.9,2030,666,21.4,4.5,22440,5888,1969,215,89717,9893,17.6,6.5,N,N,27.3,8.0,N,N,35.8,7.6,N,N,11.8,5.8,N,N,5.1,3.2,N,N,2.3,2.7,N,N,7902,438,35078,3307,61.1,4.5,41810,4627,8.6,3.1,15756,8976,1.1,1.5,N,N,17.7,3.1,29045,7617,0.0,0.4,-,**,3.6,2.7,27361,10386,8.0,3.4,25532,9925,6.3,1.5,26513,8102,58.4,3.9,42815,4790,23.3,(X),(X),(X),28.5,(X),(X),(X),20.7,(X),(X),(X)
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1176,28,93902,18547,82.9,4.8,97149,21465,31.5,7.7,11209,5128,19.0,4.4,18709,5454,2.6,2.7,10723,1351,5.6,4.6,3329,3747,15.5,4.4,25738,11228,633,93,109249,30270,13.6,6.2,N,N,25.6,10.4,N,N,45.0,9.7,N,N,8.5,6.3,N,N,3.9,3.8,N,N,3.3,3.6,N,N,2830,222,39964,8652,78.0,5.7,40643,9221,4.0,3.2,19765,17755,1.1,1.6,N,N,6.9,3.0,42520,8323,4.0,4.6,14828,2167,0.0,1.1,-,**,6.1,4.2,14531,16767,3.9,2.7,29231,22651,76.1,5.6,40156,9463,36.3,(X),(X),(X),43.1,(X),(X),(X),33.2,(X),(X),(X)
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3542,171,52761,8888,63.4,5.5,51049,5613,20.8,4.1,49390,34532,34.7,5.3,16850,1478,4.5,3.1,6852,2408,5.6,3.7,2742,1611,14.2,3.3,18175,4911,1328,233,70997,15034,24.5,10.9,35700,18511,22.3,9.6,48950,17704,34.3,11.4,100273,29009,11.0,7.3,77157,25409,2.9,3.2,152368,33731,5.0,5.0,81763,35508,6258,502,30698,4913,60.3,6.2,38045,7732,15.9,6.9,12861,4678,0.6,0.6,N,N,16.6,4.5,25543,8622,0.0,0.5,-,**,0.0,0.5,-,**,6.6,4.1,21052,12886,7.5,3.8,29165,16884,55.5,6.0,38280,8299,26.8,(X),(X),(X),30.0,(X),(X),(X),22.3,(X),(X),(X)
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",2392,132,89468,11663,68.1,4.9,93247,11979,46.7,6.3,26432,21890,40.2,5.0,16771,2130,3.5,3.1,8233,2705,2.3,1.9,785,561,25.8,5.1,21120,5500,994,148,121207,18977,14.4,5.6,N,N,20.6,11.7,N,N,50.4,10.4,N,N,5.4,3.9,N,N,6.4,5.9,N,N,2.7,3.7,N,N,5165,480,43560,5790,80.7,5.5,47259,6482,5.5,4.4,14655,6564,0.5,0.6,N,N,6.3,2.9,33806,15194,0.8,0.9,49460,38862,1.1,1.2,N,N,5.2,2.7,30092,12064,3.8,1.6,50346,26008,78.0,5.6,46964,6793,33.7,(X),(X),(X),28.2,(X),(X),(X),32.6,(X),(X),(X)
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1251,73,161568,15085,82.3,4.1,155344,14620,50.1,6.6,36805,18278,33.7,5.0,22134,2807,1.4,1.6,N,N,0.0,2.6,-,**,21.7,4.6,27418,6931,946,84,189257,20679,10.9,4.3,174509,97063,35.4,8.9,189904,46970,42.9,8.1,186926,25522,5.9,3.7,205386,109526,4.9,3.3,218507,28975,0.0,3.4,-,**,3154,182,65168,5868,86.2,5.1,67524,7596,1.3,1.2,79837,7466,0.0,1.0,-,**,6.8,3.0,54480,14537,0.0,1.0,-,**,0.0,1.0,-,**,5.8,3.2,39189,35934,1.4,1.4,39236,22472,84.8,5.4,67990,7819,18.6,(X),(X),(X),17.0,(X),(X),(X),15.2,(X),(X),(X)
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",3423,109,73242,6611,83.8,3.4,72305,7521,30.6,5.0,11703,3696,20.0,3.0,18664,2364,4.2,3.0,15648,3818,0.4,0.7,N,N,15.2,3.3,22354,4907,1757,212,85307,9596,9.3,3.5,N,N,35.3,8.6,N,N,38.6,8.0,N,N,11.2,4.9,N,N,4.9,3.5,N,N,0.7,1.3,N,N,8039,492,32069,3044,66.2,6.4,34127,3839,9.1,3.1,33427,16083,0.8,0.7,19931,10187,10.3,4.0,37469,9810,0.0,0.4,-,**,7.4,4.4,14177,5406,6.2,2.7,22127,6641,10.7,4.3,18349,5916,63.6,6.3,34419,3982,28.6,(X),(X),(X),24.3,(X),(X),(X),26.2,(X),(X),(X)
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2188,141,67646,6943,80.8,5.8,71105,7340,30.4,7.4,8827,4783,20.3,5.5,13292,2881,3.9,2.6,6228,2201,2.1,2.0,702,290,13.0,5.1,27201,9496,1110,151,81354,11885,7.9,5.4,N,N,31.7,9.6,N,N,43.7,8.7,N,N,12.8,7.6,N,N,2.1,3.1,N,N,1.8,2.7,N,N,4651,376,32168,3267,63.1,8.0,39503,4772,12.1,6.6,16668,5670,0.3,0.4,N,N,17.0,7.0,22853,7991,1.6,2.4,6389,7332,3.2,2.3,20893,29267,2.6,1.6,11569,12672,7.9,4.0,24269,11651,57.4,7.8,41229,5269,17.8,(X),(X),(X),20.0,(X),(X),(X),17.0,(X),(X),(X)
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1040,58,115458,15060,88.6,4.8,106818,15311,37.6,7.1,14457,6985,20.6,3.9,23175,5888,7.0,4.9,9397,1934,1.3,1.6,N,N,21.0,5.1,44489,21853,691,94,144381,23607,4.8,3.2,N,N,23.9,7.0,N,N,55.0,9.3,N,N,5.5,6.2,N,N,10.9,5.3,N,N,0.0,4.6,N,N,2474,197,49749,6468,85.8,6.0,50772,6808,1.4,1.2,59182,27637,0.7,0.8,N,N,7.1,4.6,63050,21671,0.0,1.3,-,**,0.0,1.3,-,**,5.1,4.1,15738,13257,1.8,2.2,N,N,84.0,6.3,50996,6958,11.9,(X),(X),(X),11.1,(X),(X),(X),9.1,(X),(X),(X)
