,build_id,build_lat,build_long,build_start_dt,build_end_dt,num_collisions,norm_collisions
0,6128401,47.6064785,-122.3313647,2015-09-09,2017-11-14,74,0.4065934065934066
1,6155458,47.61712077,-122.331524,2015-02-02,2017-07-18,43,0.23626373626373626
2,6165135,47.72943418,-122.29156770000002,2015-02-23,2017-10-04,8,0.04395604395604396
3,6180940,47.61582105,-122.3461666,2015-07-23,2016-11-28,73,0.4010989010989011
4,6182636,47.66172677,-122.3175613,2015-10-16,2016-06-09,51,0.2802197802197802
5,6223833,47.61946557,-122.3549321,2015-02-24,2017-02-08,20,0.10989010989010989
6,6226141,47.64464664,-122.3261037,2015-07-30,2017-04-20,12,0.06593406593406594
7,6270553,47.66786255,-122.3811338,2015-11-30,2015-12-02,23,0.12637362637362637
8,6284321,47.61698493,-122.3319657,2015-09-21,2017-12-08,25,0.13736263736263737
9,6308275,47.61994888,-122.3238534,2015-01-15,2015-03-02,39,0.21428571428571427
10,6313996,47.65646419,-122.3181508,2015-06-03,2017-05-31,17,0.09340659340659341
11,6319158,47.60673038,-122.3203603,2015-12-18,2017-09-01,26,0.14285714285714285
12,6322630,47.62366955,-122.3603143,2015-01-23,2015-01-23,29,0.15934065934065933
13,6324483,47.61921428,-122.309164,2015-09-18,2017-03-02,21,0.11538461538461539
14,6327888,47.5797349,-122.3113805,2015-03-19,2017-05-24,5,0.027472527472527472
15,6336323,47.57489783,-122.3864325,2015-01-22,2016-09-26,1,0.005494505494505495
16,6338150,47.62615808,-122.3513117,2015-02-07,2017-02-10,24,0.13186813186813187
17,6342116,47.52136692,-122.35947140000002,2015-07-08,2017-06-21,13,0.07142857142857142
18,6342717,47.60649933,-122.3399674,2015-02-11,2017-03-08,47,0.25824175824175827
19,6343745,47.50381028,-122.2645327,2015-12-30,2016-10-06,5,0.027472527472527472
20,6345829,47.65646419,-122.3181508,2015-05-05,2017-02-21,18,0.0989010989010989
21,6349605,47.61067146,-122.3395868,2015-03-13,2017-10-16,67,0.36813186813186816
22,6352578,47.62422755,-122.3571004,2015-07-20,2016-12-16,22,0.12087912087912088
23,6354400,47.64804333,-122.3566887,2015-05-21,2017-01-23,7,0.038461538461538464
24,6354902,47.66142742,-122.3033452,2015-04-30,2016-08-31,18,0.0989010989010989
25,6359948,47.60184797,-122.3134337,2015-02-21,2018-01-10,17,0.09340659340659341
26,6366219,47.66967529,-122.3879285,2015-02-12,2016-08-15,4,0.02197802197802198
27,6366532,47.61395165,-122.3241443,2015-08-06,2017-10-30,45,0.24725274725274726
28,6367854,47.60946442,-122.3428717,2015-06-23,2017-05-01,76,0.4175824175824176
29,6368241,47.61918048,-122.3022012,2015-07-30,2017-08-28,13,0.07142857142857142
30,6368859,47.64827306,-122.3357527,2015-01-07,2017-03-23,4,0.02197802197802198
31,6368919,47.64769819,-122.3357445,2015-02-04,2017-01-10,2,0.01098901098901099
32,6370621,47.68566128,-122.2843148,2015-03-25,2017-05-03,3,0.016483516483516484
33,6371868,47.6184506,-122.3547689,2015-05-28,2017-02-17,23,0.12637362637362637
34,6374401,47.66554497,-122.3178776,2015-02-25,2016-07-14,23,0.12637362637362637
