,build_id,build_lat,build_long,build_start_dt,build_end_dt,num_collisions,norm_collisions
0,6128401,47.6064785,-122.3313647,2015-09-09,2017-11-14,150,0.8241758241758241
1,6155458,47.61712077,-122.331524,2015-02-02,2017-07-18,46,0.25274725274725274
2,6165135,47.72943418,-122.29156770000002,2015-02-23,2017-10-04,8,0.04395604395604396
3,6180940,47.61582105,-122.3461666,2015-07-23,2016-11-28,77,0.4230769230769231
4,6182636,47.66172677,-122.3175613,2015-10-16,2016-06-09,51,0.2802197802197802
5,6223833,47.61946557,-122.3549321,2015-02-24,2017-02-08,25,0.13736263736263737
6,6226141,47.64464664,-122.3261037,2015-07-30,2017-04-20,7,0.038461538461538464
7,6270553,47.66786255,-122.3811338,2015-11-30,2015-12-02,34,0.18681318681318682
8,6284321,47.61698493,-122.3319657,2015-09-21,2017-12-08,86,0.4725274725274725
9,6308275,47.61994888,-122.3238534,2015-01-15,2015-03-02,36,0.1978021978021978
10,6313996,47.65646419,-122.3181508,2015-06-03,2017-05-31,23,0.12637362637362637
11,6319158,47.60673038,-122.3203603,2015-12-18,2017-09-01,55,0.3021978021978022
12,6322630,47.62366955,-122.3603143,2015-01-23,2015-01-23,33,0.1813186813186813
13,6324483,47.61921428,-122.309164,2015-09-18,2017-03-02,27,0.14835164835164835
14,6327888,47.5797349,-122.3113805,2015-03-19,2017-05-24,7,0.038461538461538464
15,6332258,47.69908317,-122.3281009,2015-06-06,2017-03-03,4,0.02197802197802198
16,6336323,47.57489783,-122.3864325,2015-01-22,2016-09-26,7,0.038461538461538464
17,6338150,47.62615808,-122.3513117,2015-02-07,2017-02-10,42,0.23076923076923078
18,6342116,47.52136692,-122.35947140000002,2015-07-08,2017-06-21,27,0.14835164835164835
19,6342717,47.60649933,-122.3399674,2015-02-11,2017-03-08,78,0.42857142857142855
20,6343745,47.50381028,-122.2645327,2015-12-30,2016-10-06,4,0.02197802197802198
21,6345829,47.65646419,-122.3181508,2015-05-05,2017-02-21,22,0.12087912087912088
22,6349605,47.61067146,-122.3395868,2015-03-13,2017-10-16,87,0.47802197802197804
23,6352578,47.62422755,-122.3571004,2015-07-20,2016-12-16,25,0.13736263736263737
24,6354400,47.64804333,-122.3566887,2015-05-21,2017-01-23,7,0.038461538461538464
25,6354902,47.66142742,-122.3033452,2015-04-30,2016-08-31,12,0.06593406593406594
26,6359948,47.60184797,-122.3134337,2015-02-21,2018-01-10,33,0.1813186813186813
27,6366219,47.66967529,-122.3879285,2015-02-12,2016-08-15,20,0.10989010989010989
28,6366532,47.61395165,-122.3241443,2015-08-06,2017-10-30,78,0.42857142857142855
29,6367854,47.60946442,-122.3428717,2015-06-23,2017-05-01,60,0.32967032967032966
30,6368241,47.61918048,-122.3022012,2015-07-30,2017-08-28,11,0.06043956043956044
31,6368859,47.64827306,-122.3357527,2015-01-07,2017-03-23,4,0.02197802197802198
32,6368919,47.64769819,-122.3357445,2015-02-04,2017-01-10,5,0.027472527472527472
33,6370621,47.68566128,-122.2843148,2015-03-25,2017-05-03,2,0.01098901098901099
34,6371868,47.6184506,-122.3547689,2015-05-28,2017-02-17,27,0.14835164835164835
35,6374401,47.66554497,-122.3178776,2015-02-25,2016-07-14,26,0.14285714285714285
36,6374770,47.67603984,-122.2922304,2015-08-12,2018-04-18,3,0.016483516483516484
37,6379558,47.56373681,-122.3857625,2015-02-12,2016-09-08,23,0.12637362637362637
38,6379773,47.61989847,-122.30187759999998,2015-05-22,2017-05-01,18,0.0989010989010989
39,6380693,47.61632879,-122.3330523,2015-01-06,2017-06-05,79,0.4340659340659341
40,6383128,47.67864785,-122.3239886,2015-03-12,2017-03-23,17,0.09340659340659341
41,6383259,47.66974927,-122.385144,2015-03-26,2016-12-05,12,0.06593406593406594
42,6383857,47.64827306,-122.3357527,2015-01-07,2017-03-23,4,0.02197802197802198
43,6383919,47.61757294,-122.3239217,2015-08-12,2017-02-22,62,0.34065934065934067
44,6387467,47.61709778,-122.3375332,2015-08-24,2018-02-15,68,0.37362637362637363
45,6387901,47.6223157,-122.3419568,2015-09-16,2017-06-06,49,0.2692307692307692
46,6389079,47.62296587,-122.3434253,2015-01-07,2017-01-10,51,0.2802197802197802
47,6390051,47.58620761,-122.3019312,2015-07-09,2017-02-09,30,0.16483516483516483
48,6392547,47.60138873,-122.3034577,2015-02-07,2016-07-12,17,0.09340659340659341
49,6392841,47.63002641,-122.3414234,2015-08-28,2017-09-28,27,0.14835164835164835
50,6392906,47.63211623,-122.34152759999998,2015-04-24,2017-08-24,9,0.04945054945054945
51,6394052,47.61094594,-122.3399262,2015-03-13,2017-05-19,81,0.44505494505494503
52,6395342,47.69253539,-122.3776106,2015-07-09,2017-02-16,5,0.027472527472527472
53,6398415,47.50970617,-122.3776024,2015-03-09,2017-01-25,2,0.01098901098901099
54,6398637,47.61181606,-122.3231999,2015-01-21,2016-10-12,72,0.3956043956043956
55,6398645,47.62233781,-122.3165435,2015-01-06,2016-06-01,37,0.2032967032967033
56,6401048,47.63412071,-122.34262959999998,2015-01-23,2016-12-12,13,0.07142857142857142
57,6401146,47.63209422,-122.3419139,2015-04-24,2017-08-24,9,0.04945054945054945
58,6402731,47.62653955,-122.3616591,2015-06-03,2016-09-20,34,0.18681318681318682
59,6402734,47.62652445,-122.36188500000002,2015-06-19,2016-09-20,35,0.19230769230769232
60,6403673,47.659998,-122.3211243,2015-06-10,2017-02-28,38,0.2087912087912088
61,6404288,47.62060764,-122.3112028,2015-07-18,2017-01-27,9,0.04945054945054945
62,6405410,47.66601132,-122.3772692,2015-03-26,2016-07-26,29,0.15934065934065933
63,6405422,47.65236628,-122.3488764,2015-05-22,2016-11-14,26,0.14285714285714285
64,6405584,47.67825665,-122.31690079999998,2015-11-16,2017-06-07,19,0.1043956043956044
65,6406127,47.66462636,-122.3080649,2015-05-12,2016-11-09,30,0.16483516483516483
66,6406611,47.61184277,-122.3425428,2015-03-25,2017-08-21,101,0.554945054945055
67,6406689,47.59298589,-122.3834815,2015-05-23,2016-11-22,2,0.01098901098901099
68,6407198,47.61269306,-122.3009915,2015-03-02,2016-05-27,16,0.08791208791208792
69,6407657,47.5540511,-122.3210202,2015-05-13,2017-07-31,2,0.01098901098901099
70,6410710,47.67985766,-122.3233612,2015-12-11,2017-08-31,13,0.07142857142857142
71,6410711,47.65162035,-122.3129426,2015-03-26,2017-05-15,5,0.027472527472527472
72,6411450,47.6692679,-122.3780555,2015-06-16,2017-05-22,26,0.14285714285714285
73,6411858,47.61820544,-122.3270673,2015-04-02,2016-09-14,57,0.3131868131868132
74,6412408,47.63849474,-122.3769606,2015-10-14,2016-10-10,5,0.027472527472527472
75,6412958,47.66222901,-122.3061952,2015-02-09,2016-11-14,17,0.09340659340659341
76,6414719,47.62267378,-122.36041670000002,2015-08-28,2017-01-19,29,0.15934065934065933
77,6415654,47.63596506,-122.3262126,2015-04-17,2017-03-31,10,0.054945054945054944
78,6417082,47.6429976,-122.320869,2015-12-23,2017-10-16,12,0.06593406593406594
79,6418661,47.5735097,-122.3224022,2015-01-13,2016-07-14,10,0.054945054945054944
80,6419979,47.66113035,-122.3459842,2015-02-28,2016-02-09,27,0.14835164835164835
81,6420528,47.66998377,-122.3825021,2015-09-23,2017-07-18,24,0.13186813186813187
82,6421330,47.66673716,-122.3831091,2015-06-17,2016-11-18,19,0.1043956043956044
83,6422105,47.66168854,-122.343299,2015-11-25,2017-01-20,25,0.13736263736263737
84,6423126,47.62037689,-122.323355,2015-10-08,2017-05-03,45,0.24725274725274726
85,6423757,47.60053038,-122.3196145,2015-12-04,2017-08-15,41,0.22527472527472528
86,6424483,47.60039583,-122.3324886,2015-03-09,2016-11-03,57,0.3131868131868132
87,6424553,47.61709778,-122.3375332,2015-05-22,2017-12-07,68,0.37362637362637363
88,6424610,47.65162035,-122.3129426,2015-03-26,2017-01-31,5,0.027472527472527472
89,6424994,47.6740228,-122.3753048,2015-06-19,2018-03-13,12,0.06593406593406594
90,6425246,47.60420403,-122.3183261,2015-06-15,2017-02-28,37,0.2032967032967033
91,6426613,47.61698493,-122.3319657,2015-05-08,2017-10-18,52,0.2857142857142857
92,6426745,47.61779708,-122.30527759999998,2015-07-30,2017-10-24,19,0.1043956043956044
93,6426748,47.64144415,-122.3249605,2015-03-10,2017-08-17,13,0.07142857142857142
94,6428629,47.65026619,-122.321914,2015-06-08,2017-03-29,3,0.016483516483516484
95,6428901,47.56974742,-122.3862476,2015-05-28,2017-10-03,5,0.027472527472527472
96,6428981,47.56382104,-122.3138774,2015-05-23,2017-10-31,7,0.038461538461538464
97,6429047,47.71343606,-122.314673,2015-03-30,2016-10-12,5,0.027472527472527472
98,6429608,47.6356913,-122.3259269,2015-09-15,2017-03-31,12,0.06593406593406594
99,6430039,47.69074327,-122.3743557,2015-05-28,2016-12-28,13,0.07142857142857142
100,6430723,47.66697624,-122.3139188,2015-08-19,2017-05-12,26,0.14285714285714285
101,6432244,47.57973893,-122.31172,2015-03-18,2016-08-09,7,0.038461538461538464
102,6432554,47.65218971,-122.3488791,2015-07-07,2016-12-12,20,0.10989010989010989
103,6434860,47.61457019,-122.3340078,2015-08-25,2017-05-09,91,0.5
104,6435512,47.59944557,-122.3049645,2015-08-12,2016-09-30,30,0.16483516483516483
105,6436863,47.55728664,-122.3818713,2015-04-23,2016-12-14,18,0.0989010989010989
106,6437982,47.63002641,-122.3414234,2015-07-20,2017-06-30,21,0.11538461538461539
107,6439675,47.6223157,-122.3419568,2015-06-30,2017-05-04,50,0.27472527472527475
108,6439861,47.65375456,-122.3129066,2015-11-16,2017-01-06,10,0.054945054945054944
109,6440054,47.69077477,-122.3973139,2015-07-18,2016-09-12,5,0.027472527472527472
