,build_id,build_lat,build_long,build_start_dt,build_end_dt,num_collisions,norm_collisions
0,6128401,47.6064785,-122.3313647,2015-09-09,2017-11-14,483,0.6060225846925973
1,6155458,47.61712077,-122.331524,2015-02-02,2017-07-18,271,0.30211817168338906
2,6165135,47.72943418,-122.29156770000002,2015-02-23,2017-10-04,54,0.05660377358490566
3,6180940,47.61582105,-122.3461666,2015-07-23,2016-11-28,224,0.4534412955465587
4,6182636,47.66172677,-122.3175613,2015-10-16,2016-06-09,83,0.350210970464135
5,6223833,47.61946557,-122.3549321,2015-02-24,2017-02-08,102,0.14265734265734265
6,6226141,47.64464664,-122.3261037,2015-07-30,2017-04-20,42,0.06666666666666667
7,6270553,47.66786255,-122.3811338,2015-11-30,2015-12-02,1,0.5
8,6284321,47.61698493,-122.3319657,2015-09-21,2017-12-08,256,0.3164400494437577
9,6308275,47.61994888,-122.3238534,2015-01-15,2015-03-02,8,0.17391304347826086
10,6313996,47.65646419,-122.3181508,2015-06-03,2017-05-31,84,0.11538461538461539
11,6319158,47.60673038,-122.3203603,2015-12-18,2017-09-01,131,0.2102728731942215
12,6324483,47.61921428,-122.309164,2015-09-18,2017-03-02,70,0.1318267419962335
13,6327888,47.5797349,-122.3113805,2015-03-19,2017-05-24,42,0.05269761606022585
14,6332258,47.69908317,-122.3281009,2015-06-06,2017-03-03,21,0.0330188679245283
15,6333247,47.56094981,-122.3530227,2015-07-09,2017-11-20,1,0.0011560693641618498
16,6336323,47.57489783,-122.3864325,2015-01-22,2016-09-26,21,0.03425774877650897
17,6338150,47.62615808,-122.3513117,2015-02-07,2017-02-10,119,0.16212534059945505
18,6342116,47.52136692,-122.35947140000002,2015-07-08,2017-06-21,73,0.10224089635854341
19,6342717,47.60649933,-122.3399674,2015-02-11,2017-03-08,254,0.335978835978836
20,6343745,47.50381028,-122.2645327,2015-12-30,2016-10-06,6,0.021352313167259787
21,6345829,47.65646419,-122.3181508,2015-05-05,2017-02-21,78,0.11854103343465046
22,6349605,47.61067146,-122.3395868,2015-03-13,2017-10-16,493,0.520042194092827
23,6352578,47.62422755,-122.3571004,2015-07-20,2016-12-16,61,0.11844660194174757
24,6354400,47.64804333,-122.3566887,2015-05-21,2017-01-23,28,0.04567699836867863
25,6354902,47.66142742,-122.3033452,2015-04-30,2016-08-31,36,0.0736196319018405
26,6359948,47.60184797,-122.3134337,2015-02-21,2018-01-10,239,0.22675521821631878
27,6366219,47.66967529,-122.3879285,2015-02-12,2016-08-15,39,0.07090909090909091
28,6366532,47.61395165,-122.3241443,2015-08-06,2017-10-30,311,0.38112745098039214
29,6367854,47.60946442,-122.3428717,2015-06-23,2017-05-01,256,0.3775811209439528
30,6368241,47.61918048,-122.3022012,2015-07-30,2017-08-28,42,0.05526315789473684
31,6368859,47.64827306,-122.3357527,2015-01-07,2017-03-23,20,0.02481389578163772
32,6368919,47.64769819,-122.3357445,2015-02-04,2017-01-10,16,0.0226628895184136
33,6370621,47.68566128,-122.2843148,2015-03-25,2017-05-03,13,0.016883116883116882
34,6371868,47.6184506,-122.3547689,2015-05-28,2017-02-17,79,0.12519809825673534
35,6374401,47.66554497,-122.3178776,2015-02-25,2016-07-14,84,0.16633663366336635
36,6374770,47.67603984,-122.2922304,2015-08-12,2018-04-18,10,0.01020408163265306
37,6379558,47.56373681,-122.3857625,2015-02-12,2016-09-08,58,0.10104529616724739
38,6379773,47.61989847,-122.30187759999998,2015-05-22,2017-05-01,43,0.06056338028169014
39,6380693,47.61632879,-122.3330523,2015-01-06,2017-06-05,353,0.40068104426787743
40,6383128,47.67864785,-122.3239886,2015-03-12,2017-03-23,54,0.07277628032345014
41,6383259,47.66974927,-122.385144,2015-03-26,2016-12-05,41,0.06612903225806452
42,6383857,47.64827306,-122.3357527,2015-01-07,2017-03-23,20,0.02481389578163772
43,6383919,47.61757294,-122.3239217,2015-08-12,2017-02-22,197,0.3517857142857143
44,6387467,47.61709778,-122.3375332,2015-08-24,2018-02-15,284,0.31346578366445915
45,6387901,47.6223157,-122.3419568,2015-09-16,2017-06-06,147,0.23370429252782193
46,6389079,47.62296587,-122.3434253,2015-01-07,2017-01-10,177,0.24114441416893734
47,6390051,47.58620761,-122.3019312,2015-07-09,2017-02-09,95,0.16351118760757316
48,6392547,47.60138873,-122.3034577,2015-02-07,2016-07-12,51,0.09788867562380038
49,6392841,47.63002641,-122.3414234,2015-08-28,2017-09-28,63,0.08267716535433071
50,6392906,47.63211623,-122.34152759999998,2015-04-24,2017-08-24,44,0.05158264947245018
51,6394052,47.61094594,-122.3399262,2015-03-13,2017-05-19,393,0.4924812030075188
52,6395342,47.69253539,-122.3776106,2015-07-09,2017-02-16,31,0.05272108843537415
53,6398415,47.50970617,-122.3776024,2015-03-09,2017-01-25,7,0.010174418604651164
54,6398637,47.61181606,-122.3231999,2015-01-21,2016-10-12,246,0.3904761904761905
55,6398645,47.62233781,-122.3165435,2015-01-06,2016-06-01,104,0.203125
56,6401048,47.63412071,-122.34262959999998,2015-01-23,2016-12-12,45,0.06531204644412192
57,6401146,47.63209422,-122.3419139,2015-04-24,2017-08-24,49,0.05744431418522861
58,6402731,47.62653955,-122.3616591,2015-06-03,2016-09-20,76,0.16
59,6402734,47.62652445,-122.36188500000002,2015-06-19,2016-09-20,68,0.14814814814814814
60,6403673,47.659998,-122.3211243,2015-06-10,2017-02-28,104,0.16534181240063592
61,6404288,47.62060764,-122.3112028,2015-07-18,2017-01-27,44,0.07871198568872988
62,6405410,47.66601132,-122.3772692,2015-03-26,2016-07-26,76,0.1557377049180328
63,6405422,47.65236628,-122.3488764,2015-05-22,2016-11-14,53,0.09778597785977859
64,6405584,47.67825665,-122.31690079999998,2015-11-16,2017-06-07,68,0.1195079086115993
65,6406127,47.66462636,-122.3080649,2015-05-12,2016-11-09,81,0.1480804387568556
66,6406611,47.61184277,-122.3425428,2015-03-25,2017-08-21,406,0.46136363636363636
67,6406689,47.59298589,-122.3834815,2015-05-23,2016-11-22,6,0.01092896174863388
68,6407198,47.61269306,-122.3009915,2015-03-02,2016-05-27,42,0.09292035398230089
69,6407657,47.5540511,-122.3210202,2015-05-13,2017-07-31,33,0.040740740740740744
70,6410710,47.67985766,-122.3233612,2015-12-11,2017-08-31,36,0.057233704292527825
71,6410711,47.65162035,-122.3129426,2015-03-26,2017-05-15,20,0.02560819462227913
72,6411450,47.6692679,-122.3780555,2015-06-16,2017-05-22,99,0.14022662889518414
73,6411858,47.61820544,-122.3270673,2015-04-02,2016-09-14,162,0.3050847457627119
74,6412408,47.63849474,-122.3769606,2015-10-14,2016-10-10,11,0.03038674033149171
75,6412958,47.66222901,-122.3061952,2015-02-09,2016-11-14,68,0.10559006211180125
76,6414126,47.72369199,-122.3067701,2015-10-07,2017-07-11,5,0.007776049766718507
77,6414719,47.62267378,-122.36041670000002,2015-08-28,2017-01-19,81,0.1588235294117647
78,6415654,47.63596506,-122.3262126,2015-04-17,2017-03-31,34,0.047619047619047616
79,6417082,47.6429976,-122.320869,2015-12-23,2017-10-16,38,0.05731523378582202
80,6418661,47.5735097,-122.3224022,2015-01-13,2016-07-14,24,0.043795620437956206
81,6419979,47.66113035,-122.3459842,2015-02-28,2016-02-09,39,0.11271676300578035
82,6420528,47.66998377,-122.3825021,2015-09-23,2017-07-18,69,0.10391566265060241
83,6421330,47.66673716,-122.3831091,2015-06-17,2016-11-18,45,0.08653846153846154
84,6422105,47.66168854,-122.343299,2015-11-25,2017-01-20,46,0.10900473933649289
85,6423126,47.62037689,-122.323355,2015-10-08,2017-05-03,107,0.18673647469458987
86,6423757,47.60053038,-122.3196145,2015-12-04,2017-08-15,131,0.21129032258064517
87,6424483,47.60039583,-122.3324886,2015-03-09,2016-11-03,214,0.3537190082644628
88,6424553,47.61709778,-122.3375332,2015-05-22,2017-12-07,309,0.33225806451612905
89,6424610,47.65162035,-122.3129426,2015-03-26,2017-01-31,15,0.022156573116691284
90,6424994,47.6740228,-122.3753048,2015-06-19,2018-03-13,59,0.05911823647294589
91,6425246,47.60420403,-122.3183261,2015-06-15,2017-02-28,149,0.2387820512820513
92,6426613,47.61698493,-122.3319657,2015-05-08,2017-10-18,308,0.34451901565995524
